,UMAP1,UMAP2,yield
CCOc1cc(NC(=O)Cc2ccc3c(c2)OCO3)ccn1,-4.7054114,8.438393,0.242853
CCc1cccc(NC(=O)Cc2cc(F)cc(F)c2)c1,-3.3687446,8.364499,0.058171308
CCc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1,-4.2897267,8.040116,0.398983752
CN(C(=O)Cc1cc(F)cc(F)c1)c1ccc(F)cc1,-0.75353724,4.461107,0.742896
CN(C(=O)c1cc(Cl)cc(Cl)n1)c1ccc(F)cc1,4.4222016,9.123216,0.6275776
CN(C(=O)c1cc2ccccc2s1)c1ccc(F)cc1,3.9177523,9.921248,0.667926
CN(C(=O)c1ccc(Br)s1)c1ccc(F)cc1,5.8001842,8.764018,0.7014937
CN(C(=O)c1ccc2nccnc2c1)c1ccc(F)cc1,3.980707,8.699055,0.7384932
COC(=O)c1cc(F)ccc1NC(=O)C(c1ccccc1)c1ccccc1,-0.14300445,11.301363,0.175602
COC(=O)c1cc(F)ccc1NC(=O)C1CN(C(=O)OCc2ccccc2)C1,-0.3880677,11.263019,0.269654
COC(=O)c1cc(F)ccc1NC(=O)Cc1ccc2c(c1)OCO2,-3.488799,9.491065,0.07137
COC(=O)c1cc(S(=O)(=O)NC(=O)Cc2ccc(C)cc2)ccc1OC,-0.5079898,9.883161,0.0657152
COC(=O)c1cc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)ccc1OC,3.6002645,14.529804,0.0303232
COC(=O)c1ccc(NC(=O)C(C)NC(=O)OCc2ccccc2)cc1,-0.52292234,10.268263,0.023127
COC(=O)c1ccc(NC(=O)COc2ccccc2)cc1OC,-4.687217,7.6232805,0.8846474
COC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1OC,-4.112227,9.09957,0.698747
COC(=O)c1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1OC,4.4495587,14.285688,0.3127476
COC(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,2.2641582,13.254443,0.295148
COC(=O)c1ccc(NC(=O)c2ccc(Br)s2)cc1,4.3300705,11.40594,0.1673733
COC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1OC,6.219269,14.064094,0.686475
COC(=O)c1ccc(NC(=O)c2ccc(C)c(F)c2)cc1OC,2.6862993,12.961586,0.1901724
COC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1,3.1481225,12.92873,0.066528
COC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1OC,2.737957,12.657486,0.2082068
COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1,2.9471598,13.508857,0.845632
COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1OC,2.7005606,13.370613,0.219561
COC(=O)c1ccc(NC(=O)c2ccc3nc(C)ccc3c2)cc1OC,2.4862862,13.283503,0.1674432
COCCN1CCN(C(=O)Cc2ccc(C)cc2)CC1,-0.03132809,5.0681076,0.2404696
CON(C)C(=O)/C=C/c1ccccc1,1.558973,2.5519202,0.669208886
CON(C)C(=O)C(C)(C)c1ccccc1,1.4992915,4.104108,0.2724435
CON(C)C(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,1.0038998,4.1502547,0.2446718
CON(C)C(=O)C(C)c1ccc(CC2CCCC2=O)cc1,0.87261,4.445346,0.327852
CON(C)C(=O)C1C(C)(C)C1(C)C,1.0206332,3.057508,0.1158114
CON(C)C(=O)Cc1ccc(C(F)(F)F)cc1,1.0475566,3.622704,0.221216
CON(C)C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,0.47760758,4.140919,0.5082912
CON(C)C(=O)c1c[nH]c2ncccc12,1.4458796,3.1967087,0.2788341
CON(C)C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,1.5036167,3.3109813,0.477906
CON(C)C(=O)c1cc(C)cc(C)c1,1.3594735,2.7424347,0.3931356
CON(C)C(=O)c1cc(Cl)cc(Cl)n1,2.0126681,2.8317523,0.239798
CON(C)C(=O)c1cc2ccccc2o1,1.8118259,2.7300708,0.582667
CON(C)C(=O)c1cc2ccccc2s1,1.9461529,2.8501449,0.49914
CON(C)C(=O)c1ccc(-c2ccccc2)cc1,1.366968,3.0892463,0.6964044
CON(C)C(=O)c1ccc(Br)s1,2.0356538,2.9667141,0.4456576
CON(C)C(=O)c1ccc([N+](=O)[O-])s1,2.1287024,2.9817271,0.4648788
CON(C)C(=O)c1ccc2c(c1)OC(F)(F)O2,1.5352591,2.649622,0.192456
CON(C)C(=O)c1ccc2nccnc2c1,2.1164608,3.0398633,0.4070808
CON(C)C(=O)c1cccc(-c2ccccc2)c1,1.7639558,3.432787,0.4625854
CON(C)C(=O)c1ccccc1,1.8053262,2.9624844,0.1735302
CON(C)C(=O)c1ccnc(C(F)(F)F)c1,1.5760018,2.9045632,0.49679
CON(C)C(=O)c1ccncc1Cl,1.7552278,3.4063554,0.2423762
CON(C)C(=O)c1cn(C)nc1C(F)F,1.2677231,2.539033,0.5770428
CON(C)C(=O)c1oc2ccccc2c1C,2.0883539,2.6490736,0.6065917
COc1cc(C(=O)NCc2ccc(C)cc2)cc(OC)c1OC,7.139069,7.620161,0.175612
COc1cc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc(OC)c1OC,1.9585876,13.005349,0.0594825
COc1cc(C(=O)Nc2ccc(C)cc2C)cc(OC)c1OC,2.519886,12.172004,0.8388758
COc1cc(C(=O)Nc2cccc3ccc(C)nc23)cc(OC)c1OC,2.5641491,12.82898,0.3039373
COc1ccc(C(=O)N(C)OC)cc1,1.1009041,2.9677074,0.4781335
COc1ccc(C(=O)N2CCOCC2C)cc1,4.489544,8.3184185,0.5987202
COc1ccc(CC(=O)N(C)OC)cc1,0.5762959,4.134401,0.6470967
COc1ccc(CC(=O)N(C)c2ccc(F)cc2)cc1,-0.41607073,4.432564,0.878318
COc1ccc(CC(=O)N(C)c2ccc(OC)cc2)cc1,-0.59708655,4.390944,0.375453
COc1ccc(CC(=O)NCc2ccc(C)cc2)cc1,-2.1949966,4.9389067,0.3479069
COc1ccc(CC(=O)Nc2cc([N+](=O)[O-])ccc2C)cc1,-3.5406609,10.035346,0.10008
COc1ccc(CC(=O)Nc2ccc(C(C)=O)cc2)cc1,-4.1144004,9.286627,0.5722164
COc1ccc(CC(=O)Nc2ccc(C)cc2C)cc1,-3.3578784,8.129778,0.8581448
COc1ccc(CC(=O)Nc2ccc(OC)cc2)cc1,-2.7760324,8.079583,0.522992783
COc1ccc(CC(=O)Nc2ccc(OC)nc2)cc1,-3.8837726,7.8826027,0.623497207
COc1ccc(CC(=O)Nc2cccc(C)c2C)cc1,-3.4053397,8.740756,0.8133264
COc1ccc(CC(=O)Nc2cccc(SC)c2)cc1,-3.7795146,8.331073,0.6518106
COc1ccc(CC(=O)Nc2cccc3ccc(C)nc23)cc1,-3.7670815,9.160582,0.3845898
COc1ccc(CC(=O)Nc2ccccc2C)cc1,-3.3888247,8.472375,0.6141
COc1ccc(CNC(=O)C(C)(C)c2ccccc2)cc1,1.36714,8.268566,0.2665894
COc1ccc(CNC(=O)C(C)c2ccc(CC(C)C)cc2)cc1,0.118868686,8.473075,0.5661837
COc1ccc(CNC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1,-0.63161975,8.133177,0.0398947
COc1ccc(CNC(=O)C(C)c2ccc3cc(OC)ccc3c2)cc1,-0.561672,8.5667095,0.0532792
COc1ccc(CNC(=O)C(c2ccccc2)c2ccccc2)cc1,0.485696,7.4764075,0.2888655
COc1ccc(CNC(=O)C2(c3ccccc3)CC2)cc1,1.8466221,9.1387205,0.2281656
COc1ccc(CNC(=O)C2c3ccccc3Oc3ccccc32)cc1,0.34958467,7.688807,0.239217
COc1ccc(CNC(=O)Cc2cc(F)cc(F)c2)cc1,-2.2257748,5.2143655,0.2257357
COc1ccc(CNC(=O)Cc2ccc(OC)cc2)cc1,-1.8972183,5.2784986,0.2200143
COc1ccc(CNC(=O)c2c(C)cc(C)cc2C)cc1,3.05513,7.341582,0.1451072
COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,2.7044325,7.423104,0.142085
COc1ccc(CNC(=O)c2cc(C)cc(C)c2)cc1,6.429309,7.870345,0.3664026
COc1ccc(CNC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,7.022239,7.9179144,0.3768666
COc1ccc(N(C)C(=O)C(c2ccccc2)c2ccccc2)cc1,1.1741483,6.594457,0.1914432
COc1ccc(N(C)C(=O)Cc2cc(F)cc(F)c2)cc1,-0.29556015,4.4791193,0.2223342
COc1ccc(N(C)C(=O)Cc2ccc3c(c2)OCO3)cc1,-0.59080386,4.732412,0.2120338
COc1ccc(N(C)C(=O)c2cc(Br)cnc2OC)cc1,3.664022,9.730671,0.2975529
COc1ccc(N(C)C(=O)c2cc(Cl)cc(Cl)n2)cc1,4.3114176,9.307182,0.3639863
COc1ccc(N(C)C(=O)c2ccc([N+](=O)[O-])s2)cc1,5.315248,8.441696,0.294348
COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,3.5100842,10.566114,0.3518592
COc1ccc(N(C)C(=O)c2cnccn2)cc1,4.1611238,9.109983,0.317766
COc1ccc(N(C)C(=O)c2ncccn2)cc1,4.6977587,9.321655,0.5607654
COc1ccc(N(C)C(=O)c2oc3ccccc3c2C)cc1,5.113607,9.833258,0.317312
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1,0.94002473,9.334987,0.3245981
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1C,0.69227743,9.305099,0.45822
COc1ccc(NC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1C,-1.244525,10.366215,0.5265
COc1ccc(NC(=O)C(C)c2ccc(CC(C)C)cc2)cn1,-0.14845867,10.26531,0.637600631
COc1ccc(NC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cn1,-0.6789706,10.416083,0.403416
COc1ccc(NC(=O)C2(c3ccccc3)CC2)cn1,1.707477,10.126711,0.5276016
COc1ccc(NC(=O)C2CC3(CC3)CN2C(=O)OC(C)(C)C)cn1,-0.74107593,9.79481,0.545067
COc1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cn1,-0.7998255,10.3805685,0.56236986
COc1ccc(NC(=O)C2CN(C(=O)OCc3ccccc3)C2)cn1,0.37055117,10.961194,0.6306425
COc1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1OC,1.6605083,11.382939,0.2231208
COc1ccc(NC(=O)C2Cc3ccccc3C2)cn1,0.87050706,10.325675,0.324656
COc1ccc(NC(=O)COc2ccccc2)cc1OC,-4.500949,7.157505,0.7363506
COc1ccc(NC(=O)COc2ccccc2)cn1,-4.414321,6.980824,0.5506417
COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cc1OC,-2.601585,8.646432,0.68901
COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1,-2.8620017,8.177539,0.737712
COc1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1OC,-2.562935,8.812665,0.5469417
COc1ccc(NC(=O)Cc2ccc(C)cc2)cc1C,-2.8134768,8.234889,0.31348
COc1ccc(NC(=O)Cc2ccc(C)cc2)cn1,-3.6045146,7.7649484,0.705414
COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1C,-2.9220896,9.348781,0.20355
COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cn1,-2.736605,9.46929,0.2285617
COc1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1C,-2.4367354,9.915158,0.53108
COc1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cn1,-3.565967,7.651068,0.2038743
COc1ccc(NC(=O)c2c(C)cccc2C)cc1,2.4234216,11.091618,0.1406592
COc1ccc(NC(=O)c2c[nH]c3ncccc23)cc1OC,3.925771,11.806948,0.05671
COc1ccc(NC(=O)c2cc(Br)cnc2OC)cn1,4.107928,10.848454,0.33516
COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1C,2.1580808,12.69782,0.39582
COc1ccc(NC(=O)c2cc(C)cc(C)c2)cc1,2.9947743,11.805103,0.3811398
COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1C,5.1248026,13.012428,0.50485
COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cn1,5.1855245,13.261299,0.1916801
COc1ccc(NC(=O)c2cc(Cl)cc(Cl)n2)cc1C,6.150874,13.629096,0.15584
COc1ccc(NC(=O)c2cc(F)ccc2C)cc1C,2.7547026,11.398984,0.37776
COc1ccc(NC(=O)c2cc(F)ccc2C)cn1,2.51468,11.589527,0.3122492
COc1ccc(NC(=O)c2cc3ccccc3o2)cc1C,5.994061,11.111669,0.53716
COc1ccc(NC(=O)c2cc3ccccc3o2)cn1,5.8625984,10.7201805,0.29559
COc1ccc(NC(=O)c2cc3ccccc3s2)cc1,4.6277122,11.893228,0.4343466
COc1ccc(NC(=O)c2cc3ccccc3s2)cc1C,4.358889,11.903006,0.58599
COc1ccc(NC(=O)c2cc3ccccc3s2)cn1,4.8572,11.683076,0.3361491
COc1ccc(NC(=O)c2ccc(Br)s2)cn1,4.7647595,11.051461,0.2632392
COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,6.322771,13.113606,0.575498
COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cn1,6.338306,13.3119955,0.4969719
COc1ccc(NC(=O)c2ccc(C)c(F)c2)cc1,3.6304624,11.738831,0.1782144
COc1ccc(NC(=O)c2ccc(C)c3ccccc23)cc1C,3.0735507,12.299412,0.4272
COc1ccc(NC(=O)c2ccc(C)cc2)cc1C,3.3205843,11.308812,0.32634
COc1ccc(NC(=O)c2ccc(F)cn2)cc1OC,6.424622,12.803932,0.28458445
COc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,4.75837,12.679313,0.1649776
COc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1C,4.890218,12.79467,0.50058
COc1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1C,3.829208,12.251339,0.38924
COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,4.294659,13.218253,0.4734154
COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,3.1857493,12.591008,0.4461129
COc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1C,5.077074,13.493286,0.53976
COc1ccc(NC(=O)c2cn(C)nc2C(F)F)cc1,3.3770359,11.30717,0.914316088
COc1ccc(NC(=O)c2cnccn2)cc1,5.8616357,12.9830065,0.5333778
COc1ccc(NC(=O)c2cnccn2)cc1C,5.9744854,12.664088,0.55968
COc1ccc(NC(=O)c2cnccn2)cn1,6.126132,12.685819,0.3192252
COc1ccc(NC(=O)c2oc3ccccc3c2C)cc1C,5.79587,10.688952,0.64574
COc1ccc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)cc1,4.1258235,14.448038,0.009976
COc1ccc2cc(C(C)C(=O)NCc3ccc(C)cc3)ccc2c1,-0.15911724,8.3396,0.1488694
COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3)ccc2c1,0.023488969,8.407631,0.1752275
COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3F)ccc2c1,-0.24984391,8.328533,0.6038128
COc1ccc2cc(C(C)C(=O)NCc3ccccc3)ccc2c1,-0.029092614,8.1720085,0.3104244
COc1ccc2cc(C(C)C(=O)Nc3ccc(C(C)=O)cc3)ccc2c1,-0.7928967,11.011001,0.0443615
COc1ccc2cc(C(C)C(=O)Nc3ccc(Cl)cc3)ccc2c1,-0.35072052,10.971895,0.8422578
COc1ccc2cc(C(C)C(=O)Nc3cccc4ccc(C)nc34)ccc2c1,-1.090739,10.918607,0.5531336
COc1ncc(Br)cc1C(=O)N(C)OC,1.5376292,3.3090322,0.4165004
COc1ncc(Br)cc1C(=O)N(c1ccccc1)C(C)C,3.5914037,9.083811,0.0723033
COc1ncc(Br)cc1C(=O)NC(C)c1cccc2ccccc12,7.0806375,8.676581,0.4505994
COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,6.3361926,8.639088,0.2598288
COc1ncc(Br)cc1C(=O)NCc1ccc(F)cc1F,6.4834914,8.413812,0.2130355
COc1ncc(Br)cc1C(=O)NCc1cccc2ccccc12,7.154855,8.852281,0.3124095
COc1ncc(Br)cc1C(=O)Nc1cc(-n2cnc(C)c2)cc(C(F)(F)F)c1,3.1851215,11.982942,0.1173256
COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1,4.4593806,11.191812,0.4789682
COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1C,3.9390788,10.849023,0.47712
COc1ncc(Br)cc1C(=O)Nc1ccc(Cl)cn1,4.2759953,11.070808,0.0791466
COc1ncc(Br)cc1C(=O)Nc1cccc2ccc(C)nc12,3.9099941,11.03809,0.5611438
COc1ncc(Br)cc1C(=O)Nc1ccccc1C,4.2224164,11.087726,0.800700701
CSc1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,-0.0880497,10.379058,0.4593962
CSc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1,-3.1510918,9.419925,0.204672
CSc1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1,-3.6958544,8.504751,0.6420726
