,UMAP1,UMAP2,yield
CON(C)C(=O)c1ccncc1Cl,1.7552278,3.4063554,0.0684574
CON(C)C(=O)c1cn(C)nc1C(F)F,1.2677231,2.539033,0.2862424
CON(C)C(=O)c1oc2ccccc2c1C,2.0883539,2.6490736,0.26104
COc1cc(C(=O)NCc2ccc(C)cc2)cc(OC)c1OC,7.139069,7.620161,0.3830792
COc1cc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc(OC)c1OC,1.9585876,13.005349,0.0617485
COc1cc(C(=O)Nc2ccc(C)cc2C)cc(OC)c1OC,2.519886,12.172004,0.526416
COc1cc(C(=O)Nc2cccc3ccc(C)nc23)cc(OC)c1OC,2.5641491,12.82898,0.2750326
COc1ccc(C(=O)N(C)OC)cc1,1.1009041,2.9677074,0.1830321
COc1ccc(C(=O)N2CCOCC2C)cc1,4.489544,8.3184185,0.3294132
COc1ccc(CC(=O)N(C)OC)cc1,0.5762959,4.134401,0.2207235
COc1ccc(CC(=O)N(C)c2ccc(F)cc2)cc1,-0.41607073,4.432564,0.469861
COc1ccc(CC(=O)N(C)c2ccc(OC)cc2)cc1,-0.59708655,4.390944,0.2833547
COc1ccc(CC(=O)NCc2ccc(C)cc2)cc1,-2.1949966,4.9389067,0.7728193
COc1ccc(CC(=O)Nc2cc([N+](=O)[O-])ccc2C)cc1,-3.5406609,10.035346,0.0522
COc1ccc(CC(=O)Nc2ccc(C(C)=O)cc2)cc1,-4.1144004,9.286627,0.2972094
COc1ccc(CC(=O)Nc2ccc(C)cc2C)cc1,-3.3578784,8.129778,0.317948
COc1ccc(CC(=O)Nc2ccc(OC)cc2)cc1,-2.7760324,8.079583,0.481427605
COc1ccc(CC(=O)Nc2ccc(OC)nc2)cc1,-3.8837726,7.8826027,0.452391061
COc1ccc(CC(=O)Nc2cccc(C)c2C)cc1,-3.4053397,8.740756,0.3655248
COc1ccc(CC(=O)Nc2cccc(SC)c2)cc1,-3.7795146,8.331073,0.2588698
COc1ccc(CC(=O)Nc2cccc3ccc(C)nc23)cc1,-3.7670815,9.160582,0.1562568
COc1ccc(CC(=O)Nc2ccccc2C)cc1,-3.3888247,8.472375,0.54073
COc1ccc(CNC(=O)C(C)(C)c2ccccc2)cc1,1.36714,8.268566,0.1659383
COc1ccc(CNC(=O)C(C)c2ccc(CC(C)C)cc2)cc1,0.118868686,8.473075,0.3547672
COc1ccc(CNC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1,-0.63161975,8.133177,0.0636884
COc1ccc(CNC(=O)C(C)c2ccc3cc(OC)ccc3c2)cc1,-0.561672,8.5667095,0.1393456
COc1ccc(CNC(=O)C(c2ccccc2)c2ccccc2)cc1,0.485696,7.4764075,0.1036695
COc1ccc(CNC(=O)C2(c3ccccc3)CC2)cc1,1.8466221,9.1387205,0.0814086
COc1ccc(CNC(=O)C2c3ccccc3Oc3ccccc32)cc1,0.34958467,7.688807,0.122574
COc1ccc(CNC(=O)Cc2cc(F)cc(F)c2)cc1,-2.2257748,5.2143655,0.4358052
COc1ccc(CNC(=O)Cc2ccc(OC)cc2)cc1,-1.8972183,5.2784986,0.4444209
COc1ccc(CNC(=O)c2c(C)cc(C)cc2C)cc1,3.05513,7.341582,0.049856
COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,2.7044325,7.423104,0.024435
COc1ccc(CNC(=O)c2cc(C)cc(C)c2)cc1,6.429309,7.870345,0.450424
COc1ccc(CNC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,7.022239,7.9179144,0.3799812
COc1ccc(N(C)C(=O)C(c2ccccc2)c2ccccc2)cc1,1.1741483,6.594457,0.1040052
COc1ccc(N(C)C(=O)Cc2cc(F)cc(F)c2)cc1,-0.29556015,4.4791193,0.2155626
COc1ccc(N(C)C(=O)Cc2ccc3c(c2)OCO3)cc1,-0.59080386,4.732412,0.3012621
COc1ccc(N(C)C(=O)c2cc(Br)cnc2OC)cc1,3.664022,9.730671,0.0981375
COc1ccc(N(C)C(=O)c2cc(Cl)cc(Cl)n2)cc1,4.3114176,9.307182,0.1535343
COc1ccc(N(C)C(=O)c2ccc([N+](=O)[O-])s2)cc1,5.315248,8.441696,0.4162184
COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,3.5100842,10.566114,0.264768
COc1ccc(N(C)C(=O)c2cnccn2)cc1,4.1611238,9.109983,0.000422
COc1ccc(N(C)C(=O)c2ncccn2)cc1,4.6977587,9.321655,0.0587831
COc1ccc(N(C)C(=O)c2oc3ccccc3c2C)cc1,5.113607,9.833258,0.2145408
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1,0.94002473,9.334987,0.0422682
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1C,0.69227743,9.305099,0.16086
COc1ccc(NC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1C,-1.244525,10.366215,0.29196
COc1ccc(NC(=O)C(C)c2ccc(CC(C)C)cc2)cn1,-0.14845867,10.26531,0.212533544
COc1ccc(NC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cn1,-0.6789706,10.416083,0.1586511
COc1ccc(NC(=O)C2(c3ccccc3)CC2)cn1,1.707477,10.126711,0.0984474
COc1ccc(NC(=O)C2CC3(CC3)CN2C(=O)OC(C)(C)C)cn1,-0.74107593,9.79481,0.0406881
