,UMAP1,UMAP2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1cccnc1)C(=O)O,6.397459,3.1352358
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1cccs1)C(=O)O,4.9575615,1.4656792
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1ccncc1)C(=O)O,6.2132154,2.9728622
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,4.821776,4.720432
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1C(=O)O,1.7665669,1.4238269
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H](CO)C(=O)O,3.0441625,0.2901225
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)O,5.1168256,4.4818745
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CCCCN(CC(=O)O)C1=O,6.561378,6.1780496
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1C(=O)O,1.5039978,0.89260095
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CCC[C@@H](C(=O)O)C1,0.90466905,-0.28211516
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@H]1CCC[C@H]1C(=O)O,1.9749163,1.1866513
