,0
128,COC(=O)CC1CCc2cc(CN(C)C(=O)c3ccco3)cc3[nH]c(=O)c(=O)n1c23
129,COC(=O)CC1CCc2cc(C3COc4cc(OC)ccc4C3)cc3[nH]c(=O)c(=O)n1c23
130,CCCCCCC(CCCC)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
131,COC(=O)CC1CCc2cc(C3CC(=O)N(C4CCCCC4)C3)cc3[nH]c(=O)c(=O)n1c23
132,COC(=O)CC1CCc2cc(Cn3ccc(-c4cccs4)n3)cc3[nH]c(=O)c(=O)n1c23
133,COC(=O)CC1CCc2cc(C3CCC(=O)c4ccccc4C3)cc3[nH]c(=O)c(=O)n1c23
134,C#CCCCCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
135,COC(=O)CC1CCc2cc(C(Cc3cccc(Cl)c3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
136,COC(=O)CC1CCc2cc(C(Cc3ccncc3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
137,COC(=O)CC1CCc2cc(CN3CCCC[C@H](NC(=O)OC(C)(C)C)C3=O)cc3[nH]c(=O)c(=O)n1c23
138,COC(=O)CC1CCc2cc(CCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc3[nH]c(=O)c(=O)n1c23
139,COC(=O)CC1CCc2cc(C(C)OC(C)=O)cc3[nH]c(=O)c(=O)n1c23
140,COC(=O)CC1CCc2cc(C3CCOC(C)(C)C3)cc3[nH]c(=O)c(=O)n1c23
141,COC(=O)CC1CCc2cc(CCCC(=O)N3CCC(=O)CC3)cc3[nH]c(=O)c(=O)n1c23
142,CCCC(C)(F)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
143,COC(=O)CC1CCc2cc(CC3CCN(C(=O)OC(C)(C)C)CC3)cc3[nH]c(=O)c(=O)n1c23
144,COC(=O)CC1CCc2cc(C3CCCC[C@@H]3C(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
145,COC(=O)CC1CCc2cc(C3C[C@@H](c4ccccc4)CC[C@H]3C(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
146,COC(=O)CC1CCc2cc(C3CCC[C@@H]3NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
147,COC(=O)CC1CCc2cc(C3CCC4CCCCC4C3)cc3[nH]c(=O)c(=O)n1c23
148,COC(=O)CC1CCc2cc(CC3CCCCCC3)cc3[nH]c(=O)c(=O)n1c23
149,COC(=O)CC1CCc2cc(C3CC[C@H](C(=O)OC)C3)cc3[nH]c(=O)c(=O)n1c23
150,COC(=O)CC1CCc2cc(C3CC[C@H](C(=O)c4ccccc4)C3)cc3[nH]c(=O)c(=O)n1c23
151,COC(=O)CC1CCc2cc(C3CCC[C@@H]3C(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
